Title: The Catalina Surveys Periodic Variable Star Catalog 
Authors: Drake A.J., Graham M.J., Djorgovski S.G., Catelan M., Mahabal A.A., 
         Torrealba .G., Garcia-Alvarez D., Donalek C., Prieto J.L., Williams R.,
         Larson S., Christensen E., Belokurov V., Koposov S.E., Beshore E., 
         Boattini A., Gibbs A., Hill .R., Kowalski R., Johnson J., Shelly F. 
Table: Periodic Variable Catalog
================================================================================
Byte-by-byte Description of file: apjs496324t3_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units    Label   Explanations
--------------------------------------------------------------------------------
   1- 20 A20    ---      CSS     Catalina Sky Survey identifier
  22- 23 I2     h        RAh     Hour of Right Ascension (J2000) 
  25- 26 I2     min      RAm     Minute of Right Ascension (J2000) 
  28- 32 F5.2   s        RAs     Second of Right Ascension (J2000) 
      34 A1     ---      DE-     Sign of the Declination (J2000)
  35- 36 I2     deg      DEd     Degree of Declination (J2000) 
  38- 39 I2     arcmin   DEm     Arcminute of Declination (J2000) 
  41- 44 F4.1   arcsec   DEs     Arcsecond of Declination (J2000) 
  46- 50 F5.2   mag      <Vmag>  Average V band magnitude from AFD
  52- 62 F11.7  d        PF      ? Period
  64- 68 F5.2   mag      AV      Amplitude from AFD
  70- 71 I2     ---      Class   Numerical class based on Table 2
      73 A1     ---    f_Class   Flag on Class (1)
--------------------------------------------------------------------------------
Note (1): 
    a = Period is inexact based on light curve inspection. 
    b = An object exhibiting baseline variation due to spots. 
    c = Candidate ultra-short-period ellipsoidal binary. 
    d = Deeply eclipsing binary. 
    e = Light curve with unusual morphology. 
    f = Blended object. 
--------------------------------------------------------------------------------
CSS_J000020.4+103118 00 00 20.41 +10 31 18.9 14.62   1.491758   2.39  2 d  
CSS_J000031.5-084652 00 00 31.50 -08 46 52.3 14.14   0.404185   0.12  1 
CSS_J000036.9+412805 00 00 36.94 +41 28 05.7 17.39   0.274627   0.73  1 
CSS_J000037.5+390308 00 00 37.55 +39 03 08.1 17.74   0.30691    0.23  1 a  
CSS_J000103.3+105724 00 01 03.37 +10 57 24.4 15.25   1.5837582  0.11  8 
CSS_J000103.4+395744 00 01 03.46 +39 57 44.5 15.51   1.9670131  0.14  1 
CSS_J000106.9+120610 00 01 06.96 +12 06 10.3 15.85   0.297318   0.11  1 
CSS_J000110.8+400521 00 01 10.89 +40 05 21.1 13.69   0.6606980  0.09  1 
CSS_J000131.5+324913 00 01 31.54 +32 49 13.1 14.71  13.049549   0.17  8 a  
CSS_J000141.2+421108 00 01 41.28 +42 11 08.2 18.45   0.308596   0.54  1 
CSS_J000142.2+374956 00 01 42.28 +37 49 56.4 16.04   0.359542   0.14  1 
CSS_J000153.9+323530 00 01 53.94 +32 35 30.2 15.09   1.6383934  0.22  3 
CSS_J000204.0+285630 00 02 04.05 +28 56 30.0 14.07   0.244596   0.18  1 
CSS_J000205.9+300606 00 02 05.90 +30 06 06.1 13.62   0.423804   0.11  1 
CSS_J000207.1+424819 00 02 07.14 +42 48 19.3 15.74   0.306998   0.16  1 
CSS_J000215.5-171903 00 02 15.51 -17 19 03.4 18.14   0.314212   0.46  1 
CSS_J000216.1-165109 00 02 16.16 -16 51 09.7 16.07   0.30487    0.17  5 
CSS_J000217.0+242812 00 02 17.00 +24 28 12.4 16.70   0.285864   0.19  1 
CSS_J000227.0+433444 00 02 27.05 +43 34 44.8 13.77   0.4285856  0.09  1 
CSS_J000227.3+410936 00 02 27.39 +41 09 36.0 16.15   0.34632    0.24  1 
CSS_J000231.3+425310 00 02 31.32 +42 53 10.4 14.35   0.311564   0.10 16 
CSS_J000253.5+314024 00 02 53.59 +31 40 24.7 14.66   0.283966   0.07  1 
CSS_J000300.2+270110 00 03 00.28 +27 01 10.9 14.31   0.443636   0.12  1 
CSS_J000309.5+193816 00 03 09.56 +19 38 16.6 17.82   1.12582    0.59  2 
CSS_J000332.7+141329 00 03 32.76 +14 13 29.6 14.10   4.8502250  0.13  8 a  
CSS_J000335.0+160613 00 03 35.08 +16 06 13.1 16.22   3.09483    0.11  8 a  
CSS_J000343.5+073016 00 03 43.51 +07 30 16.6 16.52   0.765448   0.12  1 
CSS_J000346.5+181348 00 03 46.51 +18 13 48.5 18.69   0.269654   0.42  1 a  
CSS_J000358.9+122734 00 03 58.94 +12 27 34.8 16.66   0.673614   0.51  2 
CSS_J000400.6-090352 00 04 00.60 -09 03 52.6 18.49   0.228456   0.40  5 a  
CSS_J000417.6-123341 00 04 17.63 -12 33 41.5 18.63   0.565873   0.82  4 
CSS_J000427.0-193516 00 04 27.01 -19 35 16.8 15.96   0.299536   0.36  5 
CSS_J000427.4+440349 00 04 27.42 +44 03 49.6 13.72   0.7359109  0.13  4 
CSS_J000443.0-194247 00 04 43.05 -19 42 47.0 17.45   0.288369   0.60  5 
CSS_J000448.0-054944 00 04 48.04 -05 49 44.2 14.16   0.267826   0.12  1 
CSS_J000455.3+395050 00 04 55.35 +39 50 50.1 18.01   0.301548   0.24  1 
CSS_J000501.8+323734 00 05 01.80 +32 37 34.3 19.30   0.258376   0.51  1 a  
CSS_J000505.8+442804 00 05 05.88 +44 28 04.5 16.70   0.268322   0.37  1 
CSS_J000518.7+420822 00 05 18.71 +42 08 22.4 16.59   0.292824   0.18  1 
CSS_J000614.3+263239 00 06 14.31 +26 32 39.8 16.34   0.226066   0.17  1 
CSS_J000622.9-075434 00 06 22.93 -07 54 34.1 17.33   0.248284   0.20  1 
CSS_J000628.9+405024 00 06 28.94 +40 50 24.2 17.05   3.79518    0.43  1 
CSS_J000632.4-152926 00 06 32.40 -15 29 26.3 15.29   0.229376   0.25  1 
CSS_J000632.7-174319 00 06 32.71 -17 43 19.0 19.13   0.55595    1.09  4 
CSS_J000633.3+320602 00 06 33.37 +32 06 02.7 14.60   0.493304   0.08  1 
CSS_J000639.4+293459 00 06 39.44 +29 34 59.6 17.41   0.654106   0.46  2 
CSS_J000642.4+311501 00 06 42.42 +31 15 01.3 13.69   0.342062   0.11  1 
CSS_J000649.3-180718 00 06 49.36 -18 07 18.4 17.24   0.3287409  0.44  5 
CSS_J000649.7-170543 00 06 49.71 -17 05 43.4 15.12   0.466536   0.58  2 
CSS_J000655.0+401222 00 06 55.02 +40 12 22.2 15.56   0.24104    0.60  1 
CSS_J000658.1+390859 00 06 58.13 +39 08 59.4 17.56   0.321429   0.21  1 
CSS_J000704.7+423129 00 07 04.79 +42 31 29.0 15.51   0.295704   0.18  1 
CSS_J000713.8+432642 00 07 13.84 +43 26 42.4 14.39   0.307982   0.29  1 
CSS_J000713.9-134225 00 07 13.95 -13 42 25.8 17.93   0.254878   0.34  1 a  
CSS_J000715.7+253905 00 07 15.77 +25 39 05.8 16.63   0.276047   0.19  1 
